Croatia,,,,,,,,,,,,,0.6,0.4,0.4,0.5,0.5,0.5,no
Czech Republic,1,1.1,0.9,0.9,1.3,1.1,1.1,1.2,1.1,1.1,0.9,0.8,1.1,1,1.1,1,1.1,1.1,no
Hungary,0.5,0.8,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.9,0.5,0.8,0.8,1.1,1,1,1,no
Poland,1,1.1,0.8,0.9,0.9,0.9,1,0.8,0.8,0.8,0.6,0.8,0.6,0.7,0.7,0.6,0.9,0.6,no
Romania,0.2,0.2,0.3,0.3,,,,,0.3,,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,no
Russia,0.5,0.9,1,1.1,1.1,1.2,1.4,1,1,0.9,0.9,0.8,1,0.8,0.7,0.5,0.6,0.5,no
Ukraine,,,,,0.2,0.4,0.3,0.4,0.3,0.4,0.4,0.5,0.3,0.3,,0.2,0.3,,no
Austria,2.1,1.6,1.3,1.5,1.5,1.6,1.5,1.3,1.4,1.3,1.5,1.4,1.6,1.5,1.6,1.4,1.5,1.6,no
Belgium,1.7,1.4,1.4,0.9,1.1,1,1.3,0.9,0.8,0.9,0.9,1.1,1,1,1,0.9,0.7,0.9,no
Denmark,0.9,0.9,0.5,0.8,0.8,0.9,1,0.7,0.5,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.9,1,no
Finland,0.4,0.6,,0.4,0.5,0.4,0.6,0.3,0.3,0.3,0.3,0.5,0.4,0.3,0.3,0.3,0.3,0.4,no
France,10.9,10.4,9.5,7.7,8.8,7.7,7.4,7.1,6.9,6.3,6.1,6.5,7.1,6.9,6.9,7.2,6.2,6.9,no
Germany,8.6,7.5,6.8,6.3,6.4,5.8,5.6,6.2,5.2,5.1,6.1,5.9,6,6,6.1,5.4,5.6,5.7,no
Greece,1.7,1.7,1.4,1.2,1.6,1.7,1.6,1.8,1.6,2,1.3,1.3,1.4,1.3,1.4,1.3,1.5,1.4,no
Iceland,0.2,0.3,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.6,0.9,1.4,no
Ireland,2.7,3,2.4,2.3,2.7,2.4,2.8,2.4,2.2,1.9,2.2,2,2.4,2.5,2.3,2.4,2.7,3,yes
Italy,8,7.7,7.1,6.7,7,7.1,7.3,7.6,6.3,6.1,6.1,6.3,6.8,6.2,6.2,6.2,6.3,6.1,no
Netherlands,4.1,3.4,3.7,3.4,3.4,3,3,3,2.9,2.4,2.4,2.4,2.3,2.2,2.3,2.5,2.6,2.9,no
Norway,0.5,0.8,0.4,0.4,0.8,0.5,0.4,0.6,0.4,0.4,0.4,0.5,0.6,0.5,0.5,0.7,0.7,0.9,no
Portugal,1,0.6,0.6,0.6,0.5,0.7,0.6,0.8,0.7,0.7,0.6,0.7,0.7,0.7,0.9,0.9,1,1.2,no
Spain,4.7,4,3.7,3.8,3.3,3.4,3.3,3.5,3.7,3.8,3.4,4,4,3.6,3.8,4,4,4.3,no
Sweden,1.1,1.1,0.7,0.7,0.9,0.7,1,0.8,0.7,0.8,0.8,0.7,0.7,0.8,0.8,0.7,0.8,0.9,no
Switzerland,3.7,2.8,2.4,2.5,1.9,1.8,2.1,2.1,2.1,1.6,1.8,2.1,2,1.7,1.8,1.7,1.8,1.8,no
United Kingdom,15.6,13.4,13.8,13.3,13.5,13.3,10.9,10,9.4,9,8.3,8.9,8.9,9.1,9.2,8.8,9.1,9.8,yes
